p_unstable,nominal_loaded_slew_dps,post_fault_loaded_slew_dps,slew_scale_post,pid_best_Kp,pid_best_Kd,pid_best_pass_rate,pid_best_median_rms_deg,pid_best_mean_rms_deg,psa_best_Kp,psa_best_Kd,psa_best_pass_rate,psa_best_median_rms_deg,effect_label
4,45,45,1,25,8,1,1.0717731586725,1.86172142305995,25,8,1,1.0717731586725,BOTH_FINE
4,45,22.5,0.5,25,8,1,1.0717731586725,1.86172142305995,25,8,1,1.0717731586725,BOTH_FINE
4,45,15.75,0.35,25,8,1,1.0716255617172,1.86167222407485,25,8,1,1.0716255617172,BOTH_FINE
4,45,11.25,0.25,25,8,1,1.07043265796856,1.8629415468908,25,8,1,1.07043265796856,BOTH_FINE
4,60,60,1,25,8,1,1.07216335467296,1.85875811672962,25,8,1,1.07244527966577,BOTH_FINE
4,60,30,0.5,25,8,1,1.07216335467296,1.85875811672962,25,8,1,1.07244527966577,BOTH_FINE
4,60,21,0.35,25,8,1,1.07216335467296,1.85875811672962,25,8,1,1.07244527966577,BOTH_FINE
4,60,15,0.25,25,8,1,1.07083262192328,1.85834378208373,25,8,1,1.0708715285857,BOTH_FINE
4,75,75,1,25,8,1,1.07216335467296,1.85979296427585,25,8,1,1.07216335467296,BOTH_FINE
4,75,37.5,0.5,25,8,1,1.07216335467296,1.85979296427585,25,8,1,1.07216335467296,BOTH_FINE
4,75,26.25,0.35,25,8,1,1.07216335467296,1.85979296427585,25,8,1,1.07216335467296,BOTH_FINE
4,75,18.75,0.25,25,8,1,1.07216335467296,1.85979296427585,25,8,1,1.07216335467296,BOTH_FINE
4,90,90,1,25,8,1,1.07216335467296,1.85979296427585,25,8,1,1.07216335467296,BOTH_FINE
4,90,45,0.5,25,8,1,1.07216335467296,1.85979296427585,25,8,1,1.07216335467296,BOTH_FINE
4,90,31.5,0.35,25,8,1,1.07216335467296,1.85979296427585,25,8,1,1.07216335467296,BOTH_FINE
4,90,22.5,0.25,25,8,1,1.07216335467296,1.85979296427585,25,8,1,1.07216335467296,BOTH_FINE
6,45,45,1,25,8,1,1.18408231103599,2.07024718967575,25,8,1,1.18408231103599,BOTH_FINE
6,45,22.5,0.5,25,8,1,1.18408231103599,2.07024718967575,25,8,1,1.18408231103599,BOTH_FINE
6,45,15.75,0.35,25,8,1,1.18383827671515,2.07014428453978,25,8,1,1.18383827671515,BOTH_FINE
6,45,11.25,0.25,25,8,1,1.18765768890471,2.07076432595752,25,8,1,1.18765768890471,BOTH_FINE
6,60,60,1,25,8,1,1.18704779440071,2.07043287156119,25,8,1,1.18649346574405,BOTH_FINE
6,60,30,0.5,25,8,1,1.18704779440071,2.07043287156119,25,8,1,1.18649346574405,BOTH_FINE
6,60,21,0.35,25,8,1,1.18704779440071,2.07043287156119,25,8,1,1.18649346574405,BOTH_FINE
6,60,15,0.25,25,8,1,1.1857907571428,2.07014331363243,25,8,1,1.18580646606247,BOTH_FINE
6,75,75,1,25,8,1,1.18704779440071,2.0723656803533,25,8,1,1.18704779440071,BOTH_FINE
6,75,37.5,0.5,25,8,1,1.18704779440071,2.0723656803533,25,8,1,1.18704779440071,BOTH_FINE
6,75,26.25,0.35,25,8,1,1.18704779440071,2.0723656803533,25,8,1,1.18704779440071,BOTH_FINE
6,75,18.75,0.25,25,8,1,1.18704779440071,2.0723656803533,25,8,1,1.18704779440071,BOTH_FINE
6,90,90,1,25,8,1,1.18704779440071,2.0723656803533,25,8,1,1.18704779440071,BOTH_FINE
6,90,45,0.5,25,8,1,1.18704779440071,2.0723656803533,25,8,1,1.18704779440071,BOTH_FINE
6,90,31.5,0.35,25,8,1,1.18704779440071,2.0723656803533,25,8,1,1.18704779440071,BOTH_FINE
6,90,22.5,0.25,25,8,1,1.18704779440071,2.0723656803533,25,8,1,1.18704779440071,BOTH_FINE
8,45,45,1,25,8,1,1.39894678384926,2.45939217567638,25,8,1,1.39894678384926,BOTH_FINE
8,45,22.5,0.5,25,8,1,1.39894678384926,2.45939217567638,25,8,1,1.39894678384926,BOTH_FINE
8,45,15.75,0.35,25,8,1,1.40166020341518,2.46049276053225,25,8,1,1.40166020341518,BOTH_FINE
8,45,11.25,0.25,25,8,1,1.40026383480893,2.46157910469358,25,8,1,1.40026383480893,BOTH_FINE
8,60,60,1,25,8,1,1.39745931737778,2.46002902769143,25,8,1,1.39354970525223,BOTH_FINE
8,60,30,0.5,25,8,1,1.39745931737778,2.46002902769143,25,8,1,1.39354970525223,BOTH_FINE
8,60,21,0.35,25,8,1,1.39745931737778,2.46002902769143,25,8,1,1.39354970525223,BOTH_FINE
8,60,15,0.25,25,8,1,1.3994460291978,2.46123061152699,25,8,1,1.39403819616742,BOTH_FINE
8,75,75,1,25,8,1,1.39745931737778,2.45972042948155,25,8,1,1.39745931737778,BOTH_FINE
8,75,37.5,0.5,25,8,1,1.39745931737778,2.45972042948155,25,8,1,1.39745931737778,BOTH_FINE
8,75,26.25,0.35,25,8,1,1.39745931737778,2.45972042948155,25,8,1,1.39745931737778,BOTH_FINE
8,75,18.75,0.25,25,8,1,1.39745931737778,2.45971331415259,25,8,1,1.39745931737778,BOTH_FINE
8,90,90,1,25,8,1,1.39745931737778,2.45972042948155,25,8,1,1.39745931737778,BOTH_FINE
8,90,45,0.5,25,8,1,1.39745931737778,2.45972042948155,25,8,1,1.39745931737778,BOTH_FINE
8,90,31.5,0.35,25,8,1,1.39745931737778,2.45972042948155,25,8,1,1.39745931737778,BOTH_FINE
8,90,22.5,0.25,25,8,1,1.39745931737778,2.45972042948155,25,8,1,1.39745931737778,BOTH_FINE
