rocket_id,regime_label,regime_code,boundary_distance,p_unstable,servo_slew_deg_s,max_gimbal_deg,best_u_max_frac,best_Kp,best_Kd,nominal_success_rate,under_success_rate,over_success_rate,robustness,mass,Iyy,static_margin,Cm_alpha,control_effectiveness,thrust,deadband,backlash,latency_steps,wind_strength,nominal_servo_slew_deg_s,nominal_max_gimbal_deg,design_id
R0001,INFEASIBLE,0,-2.09121385013861,1.30881043170193,33.7886611312765,12.9984879456567,0.866565863043779,20,32,0,0,0,0,1.99527101054848,0.016075944283475,0.218510967662151,-35.2343610982007,6.7186157025939,44.7906271852776,0.0928350255271907,0.117593409616664,2,0.0649304292050567,33.7886611312765,12.9984879456567,1
R0002,INFEASIBLE,0,-1.86178768261422,1.66770528954996,58.6250535106185,12.634801365193,0.842320091012868,20,32,0,0,0,0,1.82699404332563,0.0331707763699033,0.223979839611311,-32.8347833683677,11.3079263981368,25.1714894186843,0.0239481138569202,0.0479444835171912,5,0.346749926167326,58.6250535106185,12.634801365193,2
R0003,FRAGILE,1,0,0.546589962925233,60.3653714483103,11.6409058575307,0.776060390502044,20,32,1,1,1,1,1.00321471084401,0.021787773896146,0.0574218350156832,-51.4149364595881,10.776329771463,37.7633742894319,0.00597194603761436,0.108053406800306,4,0.329000906387302,60.3653714483103,11.6409058575307,3
R0004,INFEASIBLE,0,-2.16905567741689,0.756069258319326,72.5049951975631,11.2252688727457,0.748351258183046,20,32,0,0,0,0,2.05824631391908,0.0206233020582421,0.104954090399216,-35.7507455796907,13.1743589994668,31.8791800076872,0.0946441264580403,0.238566159180423,3,0.283626810691231,72.5049951975631,11.2252688727457,4
R0005,INFEASIBLE,0,-2.22178816824309,2.19635848474452,36.9700303158525,9.82259905287354,0.654839936858236,20,32,0,0,0,0,1.97161177538485,0.0132230563528775,0.181519823204976,-53.9561811762918,5.43227520445308,25.738630375167,0.0637468598184062,0.0587243220197755,5,0.428156435996961,36.9700303158525,9.82259905287354,5
R0006,INFEASIBLE,0,-2.14209669229353,0.58079427193222,61.2644745030214,10.5532400337252,0.70354933558168,20,32,0,0,0,0,0.958805460391126,0.0308733527299383,0.104661586932627,-32.1248722374023,5.24375374495583,43.3784627358974,0.0491006071937459,0.211149759617872,4,0.0704698966180312,61.2644745030214,10.5532400337252,6
R0007,EASY,2,1.84859070592387,1.59111849568918,44.144521671745,8.43499309303542,0.562332872869028,20,8,1,1,1,1,0.920409157215581,0.0215997586590195,0.178410423523253,-46.0682879855735,5.62985944545948,34.5382956897175,0.0507592835575592,0.0175330324036644,5,0.0772520559273756,44.144521671745,8.43499309303542,7
R0008,FRAGILE,1,0,1.27980411262871,78.3716862071947,10.7835109572637,0.718900730484244,20,32,1,1,0,0.666666666666667,1.96700351983126,0.0104282170779141,0.0941000466551659,-62.6352689833525,6.04441303340237,27.4531337130734,0.0110571589293464,0.10643181782611,2,0.104008140707992,78.3716862071947,10.7835109572637,8
R0009,INFEASIBLE,0,-2.27722439183785,1.39168675411669,51.1930041327902,12.466304107764,0.831086940517603,20,32,0,0,0,0,1.06018688525023,0.0131015707961402,0.103521174449843,-61.8755448752849,11.3475246115026,27.4204654987282,0.135805806701827,0.160879462873478,6,0.152071128235874,51.1930041327902,12.466304107764,9
R0010,INFEASIBLE,0,-2.45823412139015,2.17724473114375,93.0948297220111,9.67294301400684,0.644862867600456,20,16,0,0,0,0,1.47241546549103,0.0352379255683468,0.190419825812982,-69.0067721042531,7.04767648542655,47.1470597546876,0.142780443774772,0.194219695688486,2,0.20396160969324,93.0948297220111,9.67294301400684,10
R0011,INFEASIBLE,0,-2.51679596821066,1.42482733520314,31.7785771680268,13.0570249696517,0.870468331310116,20,8,0,0,0,0,1.93598363228538,0.0394731069306906,0.207924774634719,-35.7128334099799,12.3136527106286,35.155880122414,0.10129076573473,0.227868207429628,4,0.205335904660424,31.7785771680268,13.0570249696517,11
R0012,EASY,2,1.89129525291801,1.60355047327016,57.1294015167807,10.2474293163912,0.683161954426081,20,16,1,1,1,1,1.9225901919722,0.0171596256750889,0.115404742990614,-69.3549299115433,6.15317927829198,32.2476505613635,0.03351899531318,0.00164845383345265,3,0.172123646838558,57.1294015167807,10.2474293163912,12
R0013,INFEASIBLE,0,-1.86896395653583,1.77439036831243,50.1405829910976,9.9810677535889,0.665404516905927,20,32,0,0,0,0,1.58914323371951,0.0161377842464959,0.147423910875658,-64.5756885911438,6.19575662022304,37.2594948094937,0.0929638036508675,0.147156439336002,3,0.35815517369724,50.1405829910976,9.9810677535889,13
R0014,INFEASIBLE,0,-2.18112272364659,0.524576045402652,82.5418619400507,14.9713135704622,0.998087571364149,20,32,0,0,0,0,1.91838886502202,0.0347345359570947,0.0540534888266197,-55.4657398366924,13.4547343190669,42.2806376634095,0.057426301896904,0.21569298424927,3,0.092037611225355,82.5418619400507,14.9713135704622,14
R0015,INFEASIBLE,0,-1.90177703905256,0.654758188476898,73.3721590804389,13.5157023747189,0.901046824981261,20,32,0,0,0,0,0.983172212673293,0.021880344183562,0.0751523348588453,-44.8525523059481,9.1999081368309,34.3051054556553,0.0824627986378182,0.125756631556387,5,0.397254474431871,73.3721590804389,13.5157023747189,15
R0016,FRAGILE,1,0,0.551158680975692,110.077246633985,14.449914528754,0.963327635250268,20,32,1,0,1,0.666666666666667,1.7780854692257,0.0354135434712817,0.084788643814076,-38.0400908062338,10.2688487836552,44.3268143104023,0.10207492206868,0.142436736393603,1,0.299025589326103,110.077246633985,14.449914528754,16
R0017,INFEASIBLE,0,-2.31536570649342,2.10700059072243,101.458175183447,10.6694074206951,0.711293828046338,20,32,0,0,1,0.333333333333333,1.31635731909872,0.0126510930954411,0.210896540438616,-61.800109812035,11.9008070802857,49.5278467397089,0.109996886098472,0.0870237040547943,6,0.178492860230326,101.458175183447,10.6694074206951,17
R0018,EASY,2,1.71058209206212,0.995515771647016,51.4795604831173,10.1934725883706,0.679564839224704,20,32,1,1,1,1,1.08836243349149,0.0105457581712102,0.109376370756123,-55.2009589976556,13.9895522253566,47.6107837374982,0.137233732900374,0.0208510854529858,1,0.25087227776851,51.4795604831173,10.1934725883706,18
R0019,EASY,2,1.91408378771041,0.368402888319595,86.7050899932584,9.8416003576376,0.656106690509173,20,32,1,1,1,1,1.50748234668882,0.0355936891884276,0.0417609907274291,-50.8704773799137,13.6976311756412,43.0416108811848,0.086749229703853,0.0383782569684505,6,0.333171784355284,86.7050899932584,9.8416003576376,19
R0020,INFEASIBLE,0,-2.20845737567256,1.2153376194333,35.7118647830884,13.8269890921195,0.921799272807968,20,32,0,0,0,0,1.81213196303405,0.038405893986821,0.128111688161435,-44.697892264476,11.3920840209079,28.7355207250208,0.148625468385731,0.0904674173764934,6,0.293349178467099,35.7118647830884,13.8269890921195,20
R0021,INFEASIBLE,0,-1.92348678256413,1.12247836540283,47.280705229689,12.8469436866538,0.856462912443587,20,32,0,0,0,0,1.26062073646105,0.0123621427949218,0.124148475645719,-49.523195195986,10.8775138721786,38.8334071424906,0.0447275458082901,0.185559786178627,2,0.204663325141453,47.280705229689,12.8469436866538,21
R0022,INFEASIBLE,0,-2.19103888267651,1.74847073023043,79.276893017989,8.850505202027,0.590033680135134,20,32,0,0,0,0,1.41595727359817,0.0355042969548235,0.146810666441189,-55.8150985286462,10.8348193798117,28.4291081565067,0.139987660830462,0.139632006997668,5,0.0687157333925985,79.276893017989,8.850505202027,22
R0023,INFEASIBLE,0,-2.15936048526297,0.440693025068692,31.7458988641229,14.7960007494138,0.986400049960921,20,32,0,0,0,0,1.76641269511391,0.0278757781739032,0.0528059368508185,-40.8138988669106,7.67299375845497,30.957841708792,0.0429705029833217,0.166982554220126,2,0.388494258740249,31.7458988641229,14.7960007494138,23
